id,kind,label,organism
M4-FUNG-0102,BGC,BGC0001035,Glarea lozoyensis ATCC 20868
ORG_bac04d6f1e95,ORGANISM,Glarea lozoyensis ATCC 20868,
M4-FUNG-0103,BGC,BGC0001037,Aspergillus fumigatus Af293
ORG_1829b4449fb3,ORGANISM,Aspergillus fumigatus Af293,
M4-FUNG-0104,BGC,BGC0001044,Leptosphaeria maculans
ORG_19dc5e54cc78,ORGANISM,Leptosphaeria maculans,
M4-FUNG-0105,BGC,BGC0001049,Beauveria bassiana
ORG_b74eecf1d3db,ORGANISM,Beauveria bassiana,
M4-FUNG-0106,BGC,BGC0001057,Fusarium graminearum (teleomorph historical literature: Gibberella zeae)
ORG_cbed182a893e,ORGANISM,Fusarium graminearum (teleomorph historical literature: Gibberella zeae),
M4-FUNG-0107,BGC,BGC0001067,Aspergillus fumigatus Af293
M4-FUNG-0108,BGC,BGC0001081,Epichloë festucae var. lolii; historical literature uses Neotyphodium lolii
ORG_54ffdc0bbd51,ORGANISM,Epichloë festucae var. lolii; historical literature uses Neotyphodium lolii,
M4-FUNG-0109,BGC,BGC0001082,Penicillium paxilli
ORG_b13e7c50ad4e,ORGANISM,Penicillium paxilli,
M4-FUNG-0110,BGC,BGC0001084,Aspergillus sp. MF297-2
NCBITAXON:877550,ORGANISM,Aspergillus sp. MF297-2,
M4-FUNG-0111,BGC,BGC0001118,Aspergillus fumigatus Af293
M4-FUNG-0112,BGC,BGC0001121,Aspergillus nidulans FGSC A4
ORG_af691354f998,ORGANISM,Aspergillus nidulans FGSC A4,
M4-FUNG-0113,BGC,BGC0001122,Aspergillus terreus NIH2624
ORG_540eb7bbdd06,ORGANISM,Aspergillus terreus NIH2624,
M4-FUNG-0114,BGC,BGC0001123,Aspergillus oryzae RIB40
NCBITAXON:510516,ORGANISM,Aspergillus oryzae RIB40,
M4-FUNG-0115,BGC,BGC0001124,Aspergillus niger ATCC 1015
ORG_3f738c0c4e78,ORGANISM,Aspergillus niger ATCC 1015,
M4-FUNG-0116,BGC,BGC0001136,Beauveria bassiana
M4-FUNG-0117,BGC,BGC0001141,Penicillium brefeldianum
ORG_c510f7151b08,ORGANISM,Penicillium brefeldianum,
M4-FUNG-0118,BGC,BGC0001142,Penicillium aethiopicum
ORG_d81376d1d2ed,ORGANISM,Penicillium aethiopicum,
M4-FUNG-0119,BGC,BGC0001143,Aspergillus niger ATCC 1015
M4-FUNG-0120,BGC,BGC0001144,Trichophyton tonsurans CBS 112818
ORG_9206fec171a6,ORGANISM,Trichophyton tonsurans CBS 112818,
M4-FUNG-0121,BGC,BGC0001158,Botrytis cinerea
ORG_8c064f106766,ORGANISM,Botrytis cinerea,
M4-FUNG-0122,BGC,BGC0001166,Alternaria jesenskae
ORG_83e25adeea8c,ORGANISM,Alternaria jesenskae,
M4-FUNG-0123,BGC,BGC0001187,Glarea lozoyensis
ORG_c7d41b0e71b2,ORGANISM,Glarea lozoyensis,
M4-FUNG-0124,BGC,BGC0001190,Fusarium verticillioides 7600
ORG_db9930cab997,ORGANISM,Fusarium verticillioides 7600,
M4-FUNG-0125,BGC,BGC0001205,Penicillium expansum
ORG_7f561733f323,ORGANISM,Penicillium expansum,
M4-FUNG-0126,BGC,BGC0001218,Cordyceps fumosorosea
ORG_7b25a803f331,ORGANISM,Cordyceps fumosorosea,
M4-FUNG-0127,BGC,BGC0001219,Chaetomium globosum CBS 148.51
NCBITAXON:306901,ORGANISM,Chaetomium globosum CBS 148.51,
M4-FUNG-0128,BGC,BGC0001220,Aspergillus japonicus
NCBITAXON:34381,ORGANISM,Aspergillus japonicus,
M4-FUNG-0129,BGC,BGC0001234,Aspergillus flavus NRRL3357
M4-FUNG-0130,BGC,BGC0001238,Aspergillus nidulans
M4-FUNG-0131,BGC,BGC0001239,Aspergillus nidulans
M4-FUNG-0132,BGC,BGC0001240,Metarhizium robertsii
NCBITAXON:568076,ORGANISM,Metarhizium robertsii,
M4-FUNG-0133,BGC,BGC0001241,Claviceps fusiformis
NCBITAXON:40602,ORGANISM,Claviceps fusiformis,
M4-FUNG-0134,BGC,BGC0001242,Fusarium fujikuroi
NCBITAXON:5127,ORGANISM,Fusarium fujikuroi,
M4-FUNG-0135,BGC,BGC0001243,Botrytis cinerea
NCBITAXON:40559,ORGANISM,Botrytis cinerea,
