facet_id,dossier_id,facet_axis,raw_value,missingness_state,normalized_value,normalization_status,source_ids,source_row
M4-FUNG-0063:activation.environmental_trigger:79,M4-FUNG-0063,activation.environmental_trigger,"multiple environmental regulators affect the gli cluster, but no single trigger defines the record",PRESENT,,unreviewed,S006; S007,79
M4-FUNG-0063:activation.ecological_trigger:80,M4-FUNG-0063,activation.ecological_trigger,host immune environment is a biological context rather than a required production trigger,PRESENT,,unreviewed,S005,80
M4-FUNG-0063:activation.temporal_window:81,M4-FUNG-0063,activation.temporal_window,NR,NR,,missingness_only,S005,81
M4-FUNG-0063:activation.spatial_context:83,M4-FUNG-0063,activation.spatial_context,intracellular dithiol gliotoxin must be oxidized/self-protected before export; secretion is mechanistically relevant,PRESENT,,unreviewed,S007; S008,83
M4-FUNG-0063:activation.culture_architecture:84,M4-FUNG-0063,activation.culture_architecture,"fungal liquid culture, cell-supernatant cytotoxicity assays, murine infection and purified enzyme assays",PRESENT,,unreviewed,S005; S007,84
M4-FUNG-0064:taxonomy.phylum:33,M4-FUNG-0064,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S002,33
M4-FUNG-0064:taxonomy.class:34,M4-FUNG-0064,taxonomy.class,Dothideomycetes,PRESENT,Dothideomycetes,exact_taxonomic_string,S002,34
M4-FUNG-0064:taxonomy.order:35,M4-FUNG-0064,taxonomy.order,Pleosporales,PRESENT,Pleosporales,exact_taxonomic_string,S002,35
M4-FUNG-0064:taxonomy.family:36,M4-FUNG-0064,taxonomy.family,Pleosporaceae,PRESENT,Pleosporaceae,exact_taxonomic_string,S002,36
M4-FUNG-0064:taxonomy.genus:37,M4-FUNG-0064,taxonomy.genus,Bipolaris,PRESENT,Bipolaris,exact_taxonomic_string,S002,37
M4-FUNG-0064:organism.pathotype_or_ecotype:38,M4-FUNG-0064,organism.pathotype_or_ecotype,HC-toxin-producing race 1 maize pathogen,PRESENT,,unreviewed,S005,38
M4-FUNG-0064:ecology.lifestyle:39,M4-FUNG-0064,ecology.lifestyle,necrotrophic plant pathogen,PRESENT,,unreviewed,S005,39
M4-FUNG-0064:ecology.host_or_environment:40,M4-FUNG-0064,ecology.host_or_environment,susceptible maize genotypes; host-selective virulence depends on HC-toxin,PRESENT,,unreviewed,S005; S010,40
M4-FUNG-0064:biosynthesis.database_class:49,M4-FUNG-0064,biosynthesis.database_class,NRPS (Type I),PRESENT,,unreviewed,S001,49
M4-FUNG-0064:biosynthesis.refined_class:50,M4-FUNG-0064,biosynthesis.refined_class,"large duplicated host-selective toxin superlocus (TOX2) containing NRPS scaffold, Aeo-precursor, export and transcriptional-regulatory functions",PRESENT,,unreviewed,S004; S005,50
M4-FUNG-0064:genome.chromosome_context:53,M4-FUNG-0064,genome.chromosome_context,major TOX2 programme on a ~3.5-Mb chromosome in SB111; chromosome-size differences among isolates are consistent with rearrangement,PRESENT,,unreviewed,S004; S009,53
M4-FUNG-0064:genome.accessory_chromosome_status:54,M4-FUNG-0064,genome.accessory_chromosome_status,unusual dispensable/variable chromosome-scale pathogenicity region; not reduced here to a simple accessory-chromosome label,PRESENT,,unreviewed,S004; S009,54
M4-FUNG-0064:genome.copy_number_context:55,M4-FUNG-0064,genome.copy_number_context,HTS1 and TOXA usually two copies; TOXC often three; TOXE two in many Tox2+ isolates; TOXF two or three,PRESENT,,unreviewed,S004; S005; S006; S007; S008,55
M4-FUNG-0064:genome.repeat_context:56,M4-FUNG-0064,genome.repeat_context,transposon-like sequences occur at TOX2 and large chromosomal deletions/rearrangements are documented,PRESENT,,unreviewed,S009; S014,56
M4-FUNG-0064:chemistry.product_family:62,M4-FUNG-0064,chemistry.product_family,host-selective cyclic peptide toxins,PRESENT,,unreviewed,S001; S005,62
M4-FUNG-0064:chemistry.primary_product:63,M4-FUNG-0064,chemistry.primary_product,HC-toxin,PRESENT,,unreviewed,S001; S005,63
M4-FUNG-0064:chemistry.chemical_class:65,M4-FUNG-0064,chemistry.chemical_class,epoxide-containing cyclic tetrapeptide,PRESENT,,unreviewed,S006; S010,65
M4-FUNG-0064:biology.biological_role:66,M4-FUNG-0064,biology.biological_role,critical host-selective virulence determinant on susceptible maize,PRESENT,,unreviewed,S005; S006; S007,66
M4-FUNG-0064:activation.native_pathway_state:68,M4-FUNG-0064,activation.native_pathway_state,active in Tox2+ race 1 isolates; absent from Tox2− races,PRESENT,,unreviewed,S005,68
M4-FUNG-0064:activation.extracellular_recovery:70,M4-FUNG-0064,activation.extracellular_recovery,"toxin is host-accessible; TOXA is a proposed MFS efflux/self-protection component, but exact transported species/direction is not directly established",PRESENT,,unreviewed,S012,70
M4-FUNG-0064:activation.productive_developmental_state:77,M4-FUNG-0064,activation.productive_developmental_state,vegetative/pathogenic growth,PRESENT,,unreviewed,S005,77
M4-FUNG-0064:activation.physiological_state:78,M4-FUNG-0064,activation.physiological_state,toxin-producing race-specific state,PRESENT,,unreviewed,S005,78
M4-FUNG-0064:activation.environmental_trigger:79,M4-FUNG-0064,activation.environmental_trigger,NR,NR,,missingness_only,S005,79
M4-FUNG-0064:activation.ecological_trigger:80,M4-FUNG-0064,activation.ecological_trigger,"susceptible maize is the defining functional context, although toxin can be produced in culture",PRESENT,,unreviewed,S005; S010,80
M4-FUNG-0064:activation.temporal_window:81,M4-FUNG-0064,activation.temporal_window,NR,NR,,missingness_only,S005,81
M4-FUNG-0064:activation.spatial_context:83,M4-FUNG-0064,activation.spatial_context,large chromosome-scale distribution and duplicated copies across ~600 kb; second TOXE copy on 0.7-Mb chromosome,PRESENT,,unreviewed,S004,83
M4-FUNG-0064:activation.culture_architecture:84,M4-FUNG-0064,activation.culture_architecture,"fungal culture, maize pathogenicity assays, targeted gene disruptions and chromosome mapping",PRESENT,,unreviewed,S004; S005; S006; S007,84
M4-FUNG-0065:taxonomy.phylum:33,M4-FUNG-0065,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S002,33
M4-FUNG-0065:taxonomy.class:34,M4-FUNG-0065,taxonomy.class,Eurotiomycetes,PRESENT,Eurotiomycetes,exact_taxonomic_string,S002,34
M4-FUNG-0065:taxonomy.order:35,M4-FUNG-0065,taxonomy.order,Eurotiales,PRESENT,Eurotiales,exact_taxonomic_string,S002,35
M4-FUNG-0065:taxonomy.family:36,M4-FUNG-0065,taxonomy.family,Aspergillaceae,PRESENT,Aspergillaceae,exact_taxonomic_string,S002,36
M4-FUNG-0065:taxonomy.genus:37,M4-FUNG-0065,taxonomy.genus,Aspergillus,PRESENT,Aspergillus,exact_taxonomic_string,S002,37
M4-FUNG-0065:organism.pathotype_or_ecotype:38,M4-FUNG-0065,organism.pathotype_or_ecotype,opportunistic human pathogen,PRESENT,,unreviewed,S003,38
M4-FUNG-0065:ecology.lifestyle:39,M4-FUNG-0065,ecology.lifestyle,saprotrophic airborne mold / opportunistic pathogen,PRESENT,,unreviewed,S003,39
M4-FUNG-0065:ecology.host_or_environment:40,M4-FUNG-0065,ecology.host_or_environment,host/hypoxia-responsive expression and murine infection were directly examined,PRESENT,,unreviewed,S003,40
M4-FUNG-0065:biosynthesis.database_class:49,M4-FUNG-0065,biosynthesis.database_class,NRPS (Type I),PRESENT,,unreviewed,S001,49
M4-FUNG-0065:biosynthesis.refined_class:50,M4-FUNG-0065,biosynthesis.refined_class,"eight-gene iron-complexed NRPS/indole programme with two C6 transcription factors, transporter, O-methyltransferase, NRPS, DMATS, FAD oxidase and P450",PRESENT,,unreviewed,S001; S003,50
M4-FUNG-0065:genome.chromosome_context:53,M4-FUNG-0065,genome.chromosome_context,Af293 chromosome sequence CM000171.1,PRESENT,,unreviewed,S001,53
M4-FUNG-0065:genome.accessory_chromosome_status:54,M4-FUNG-0065,genome.accessory_chromosome_status,NA,NA,,missingness_only,,54
M4-FUNG-0065:genome.copy_number_context:55,M4-FUNG-0065,genome.copy_number_context,HasA overexpression is sufficient to drive the programme; native copy-number variation not central,PRESENT,,unreviewed,S003,55
M4-FUNG-0065:genome.repeat_context:56,M4-FUNG-0065,genome.repeat_context,NR,NR,,missingness_only,S003,56
M4-FUNG-0065:chemistry.product_family:62,M4-FUNG-0065,chemistry.product_family,iron-complexed tryptophan-derived NRPS metabolites,PRESENT,,unreviewed,S001; S003,62
M4-FUNG-0065:chemistry.primary_product:63,M4-FUNG-0065,chemistry.primary_product,hexadehydroastechrome,PRESENT,,unreviewed,S001; S003,63
M4-FUNG-0065:chemistry.chemical_class:65,M4-FUNG-0065,chemistry.chemical_class,NRPS-derived Fe(III)-binding tryptophan-derived metabolite,PRESENT,,unreviewed,S003,65
M4-FUNG-0065:biology.biological_role:66,M4-FUNG-0065,biology.biological_role,perturbs fungal iron homeostasis and can increase pathogenic fitness/virulence when overproduced,PRESENT,,unreviewed,S003; S004,66
M4-FUNG-0065:activation.native_pathway_state:68,M4-FUNG-0065,activation.native_pathway_state,low/regulated under baseline conditions; responsive to host/hypoxia and iron-network state,PRESENT,,unreviewed,S003; S004,68
M4-FUNG-0065:activation.extracellular_recovery:70,M4-FUNG-0065,activation.extracellular_recovery,metabolite recovered from fungal extracts/culture; exact dedicated export substrate remains unresolved,PRESENT,,unreviewed,S003,70
M4-FUNG-0065:activation.productive_developmental_state:77,M4-FUNG-0065,activation.productive_developmental_state,vegetative/pathogenic growth; no unique morphogenetic stage required,PRESENT,,unreviewed,S003,77
M4-FUNG-0065:activation.physiological_state:78,M4-FUNG-0065,activation.physiological_state,iron-responsive state; HAS production feeds back on iron homeostasis,PRESENT,,unreviewed,S004,78
M4-FUNG-0065:activation.environmental_trigger:79,M4-FUNG-0065,activation.environmental_trigger,host/hypoxia and iron availability alter the has/iron-responsive network,PRESENT,,unreviewed,S003; S004,79
M4-FUNG-0065:activation.ecological_trigger:80,M4-FUNG-0065,activation.ecological_trigger,host environment,PRESENT,,unreviewed,S003,80
M4-FUNG-0065:activation.temporal_window:81,M4-FUNG-0065,activation.temporal_window,NR,NR,,missingness_only,S003,81
M4-FUNG-0065:activation.spatial_context:83,M4-FUNG-0065,activation.spatial_context,iron acquisition/homeostasis network rather than a defined organelle gate,PRESENT,,unreviewed,S004,83
M4-FUNG-0065:activation.culture_architecture:84,M4-FUNG-0065,activation.culture_architecture,"native culture, transcription-factor overexpression, knockout metabolomics and mouse infection",PRESENT,,unreviewed,S003; S004,84
M4-FUNG-0066:taxonomy.phylum:33,M4-FUNG-0066,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S002,33
M4-FUNG-0066:taxonomy.class:34,M4-FUNG-0066,taxonomy.class,Eurotiomycetes,PRESENT,Eurotiomycetes,exact_taxonomic_string,S002,34
M4-FUNG-0066:taxonomy.order:35,M4-FUNG-0066,taxonomy.order,Eurotiales,PRESENT,Eurotiales,exact_taxonomic_string,S002,35
M4-FUNG-0066:taxonomy.family:36,M4-FUNG-0066,taxonomy.family,Aspergillaceae,PRESENT,Aspergillaceae,exact_taxonomic_string,S002,36
M4-FUNG-0066:taxonomy.genus:37,M4-FUNG-0066,taxonomy.genus,Penicillium,PRESENT,Penicillium,exact_taxonomic_string,S002,37
M4-FUNG-0066:organism.pathotype_or_ecotype:38,M4-FUNG-0066,organism.pathotype_or_ecotype,industrial beta-lactam producer,PRESENT,,unreviewed,S003,38
M4-FUNG-0066:ecology.lifestyle:39,M4-FUNG-0066,ecology.lifestyle,saprotrophic filamentous fungus / industrial production organism,PRESENT,,unreviewed,S003,39
M4-FUNG-0066:ecology.host_or_environment:40,M4-FUNG-0066,ecology.host_or_environment,industrial fermentation; native ecological role of penicillin is not established by this amplification study,PRESENT,,unreviewed,S003,40
M4-FUNG-0066:biosynthesis.database_class:49,M4-FUNG-0066,biosynthesis.database_class,NRPS (Type I),PRESENT,,unreviewed,S001,49
M4-FUNG-0066:biosynthesis.refined_class:50,M4-FUNG-0066,biosynthesis.refined_class,56.8-kb tandemly amplifiable industrial penicillin region containing the three-gene catalytic core plus 13 neighboring ORFs,PRESENT,,unreviewed,S003,50
M4-FUNG-0066:genome.chromosome_context:53,M4-FUNG-0066,genome.chromosome_context,amplified tandem-repeat region on chromosome I in industrial P. chrysogenum,PRESENT,,unreviewed,S003; S004,53
M4-FUNG-0066:genome.accessory_chromosome_status:54,M4-FUNG-0066,genome.accessory_chromosome_status,NA,NA,,missingness_only,,54
M4-FUNG-0066:genome.copy_number_context:55,M4-FUNG-0066,genome.copy_number_context,industrial high producers carry multiple tandem copies; reported strains span single-copy to roughly 11–14 copies,PRESENT,,unreviewed,S003; S004,55
M4-FUNG-0066:genome.repeat_context:56,M4-FUNG-0066,genome.repeat_context,tandem repeats linked by conserved TTTACA/TGTAAA hexanucleotide boundary sequences,PRESENT,,unreviewed,S004,56
M4-FUNG-0066:chemistry.product_family:62,M4-FUNG-0066,chemistry.product_family,penicillins / beta-lactams,PRESENT,,unreviewed,S001; S006,62
M4-FUNG-0066:chemistry.primary_product:63,M4-FUNG-0066,chemistry.primary_product,penicillin,PRESENT,,unreviewed,S001,63
M4-FUNG-0066:chemistry.chemical_class:65,M4-FUNG-0066,chemistry.chemical_class,beta-lactam antibiotic,PRESENT,,unreviewed,S006,65
M4-FUNG-0066:biology.biological_role:66,M4-FUNG-0066,biology.biological_role,antibacterial natural product; this industrial record does not establish producer ecological function,PRESENT,,unreviewed,S006,66
M4-FUNG-0066:activation.native_pathway_state:68,M4-FUNG-0066,activation.native_pathway_state,active in production cultures and strongly intensified by industrial selection/amplification,PRESENT,,unreviewed,S003,68
M4-FUNG-0066:activation.extracellular_recovery:70,M4-FUNG-0066,activation.extracellular_recovery,yes in industrial fermentation,PRESENT,,unreviewed,S003,70
M4-FUNG-0066:activation.productive_developmental_state:77,M4-FUNG-0066,activation.productive_developmental_state,filamentous submerged production state,PRESENT,,unreviewed,S003,77
M4-FUNG-0066:activation.physiological_state:78,M4-FUNG-0066,activation.physiological_state,high precursor/energy flux and intact peroxisomal final-step competence are important,PRESENT,,unreviewed,S008,78
M4-FUNG-0066:activation.environmental_trigger:79,M4-FUNG-0066,activation.environmental_trigger,medium/phenylacetate supply and industrial fermentation conditions strongly affect output,PRESENT,,unreviewed,S006; S008,79
M4-FUNG-0066:activation.ecological_trigger:80,M4-FUNG-0066,activation.ecological_trigger,NR,NR,,missingness_only,S003,80
M4-FUNG-0066:activation.temporal_window:81,M4-FUNG-0066,activation.temporal_window,production-phase culture,PRESENT,,unreviewed,S003,81
M4-FUNG-0066:activation.spatial_context:83,M4-FUNG-0066,activation.spatial_context,ACVS/IPNS are cytosolic whereas final acyltransferase chemistry is peroxisome-associated,PRESENT,,unreviewed,S008,83
M4-FUNG-0066:activation.culture_architecture:84,M4-FUNG-0066,activation.culture_architecture,industrial submerged fermentation and gene-dose engineering,PRESENT,,unreviewed,S003; S005,84
M4-FUNG-0067:taxonomy.phylum:33,M4-FUNG-0067,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S002,33
M4-FUNG-0067:taxonomy.class:34,M4-FUNG-0067,taxonomy.class,Eurotiomycetes,PRESENT,Eurotiomycetes,exact_taxonomic_string,S002,34
M4-FUNG-0067:taxonomy.order:35,M4-FUNG-0067,taxonomy.order,Eurotiales,PRESENT,Eurotiales,exact_taxonomic_string,S002,35
M4-FUNG-0067:taxonomy.family:36,M4-FUNG-0067,taxonomy.family,Aspergillaceae,PRESENT,Aspergillaceae,exact_taxonomic_string,S002,36
M4-FUNG-0067:taxonomy.genus:37,M4-FUNG-0067,taxonomy.genus,Penicillium,PRESENT,Penicillium,exact_taxonomic_string,S002,37
M4-FUNG-0067:organism.pathotype_or_ecotype:38,M4-FUNG-0067,organism.pathotype_or_ecotype,industrial beta-lactam producer,PRESENT,,unreviewed,S003,38
M4-FUNG-0067:ecology.lifestyle:39,M4-FUNG-0067,ecology.lifestyle,saprotrophic filamentous fungus / industrial organism,PRESENT,,unreviewed,S003,39
M4-FUNG-0067:ecology.host_or_environment:40,M4-FUNG-0067,ecology.host_or_environment,industrial fermentation,PRESENT,,unreviewed,S003,40
M4-FUNG-0067:biosynthesis.database_class:49,M4-FUNG-0067,biosynthesis.database_class,NRPS (Type I),PRESENT,,unreviewed,S001,49
M4-FUNG-0067:biosynthesis.refined_class:50,M4-FUNG-0067,biosynthesis.refined_class,three-gene beta-lactam catalytic core within a broader genomic window,PRESENT,,unreviewed,S001; S003,50
M4-FUNG-0067:genome.chromosome_context:53,M4-FUNG-0067,genome.chromosome_context,Wisconsin 54-1255 genomic region; amplified in industrial high producers,PRESENT,,unreviewed,S005,53
M4-FUNG-0067:genome.accessory_chromosome_status:54,M4-FUNG-0067,genome.accessory_chromosome_status,NA,NA,,missingness_only,,54
M4-FUNG-0067:genome.copy_number_context:55,M4-FUNG-0067,genome.copy_number_context,core cluster dosage can increase through tandem amplification; production response is nonlinear,PRESENT,,unreviewed,S005,55
M4-FUNG-0067:genome.repeat_context:56,M4-FUNG-0067,genome.repeat_context,industrial tandem-repeat boundaries documented in amplified strains,PRESENT,,unreviewed,S005,56
M4-FUNG-0067:chemistry.product_family:62,M4-FUNG-0067,chemistry.product_family,penicillins / beta-lactams,PRESENT,,unreviewed,S001,62
M4-FUNG-0067:chemistry.primary_product:63,M4-FUNG-0067,chemistry.primary_product,benzylpenicillin / penicillin G under phenylacetate feeding,PRESENT,,unreviewed,S001; S003,63
M4-FUNG-0067:chemistry.chemical_class:65,M4-FUNG-0067,chemistry.chemical_class,beta-lactam antibiotic,PRESENT,,unreviewed,S003,65
M4-FUNG-0067:biology.biological_role:66,M4-FUNG-0067,biology.biological_role,antibacterial natural-product chemistry; native producer ecology not resolved by these engineering studies,PRESENT,,unreviewed,S003,66
M4-FUNG-0067:activation.native_pathway_state:68,M4-FUNG-0067,activation.native_pathway_state,active under penicillin-producing conditions,PRESENT,,unreviewed,S003,68
M4-FUNG-0067:activation.extracellular_recovery:70,M4-FUNG-0067,activation.extracellular_recovery,"yes, fermentation broth",PRESENT,,unreviewed,S003,70
M4-FUNG-0067:activation.productive_developmental_state:77,M4-FUNG-0067,activation.productive_developmental_state,filamentous submerged production culture,PRESENT,,unreviewed,S003,77
M4-FUNG-0067:activation.physiological_state:78,M4-FUNG-0067,activation.physiological_state,requires alpha-aminoadipate/cysteine/valine supply and peroxisomal final-step competence,PRESENT,,unreviewed,S003; S006,78
M4-FUNG-0067:activation.environmental_trigger:79,M4-FUNG-0067,activation.environmental_trigger,phenylacetate or phenoxyacetate feeding directs hydrophobic penicillin side chain,PRESENT,,unreviewed,S003,79
M4-FUNG-0067:activation.ecological_trigger:80,M4-FUNG-0067,activation.ecological_trigger,NR,NR,,missingness_only,S003,80
M4-FUNG-0067:activation.temporal_window:81,M4-FUNG-0067,activation.temporal_window,production-phase culture,PRESENT,,unreviewed,S003,81
M4-FUNG-0067:activation.spatial_context:83,M4-FUNG-0067,activation.spatial_context,PcbAB/PcbC operate in cytosol; PenDE and phenylacetyl-CoA activation are peroxisome-associated,PRESENT,,unreviewed,S006,83
M4-FUNG-0067:activation.culture_architecture:84,M4-FUNG-0067,activation.culture_architecture,"native fermentation, heterologous expression and enzyme assays",PRESENT,,unreviewed,S003; S004,84
M4-FUNG-0068:taxonomy.phylum:33,M4-FUNG-0068,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S002,33
M4-FUNG-0068:taxonomy.class:34,M4-FUNG-0068,taxonomy.class,Eurotiomycetes,PRESENT,Eurotiomycetes,exact_taxonomic_string,S002,34
M4-FUNG-0068:taxonomy.order:35,M4-FUNG-0068,taxonomy.order,Eurotiales,PRESENT,Eurotiales,exact_taxonomic_string,S002,35
M4-FUNG-0068:taxonomy.family:36,M4-FUNG-0068,taxonomy.family,Aspergillaceae,PRESENT,Aspergillaceae,exact_taxonomic_string,S002,36
M4-FUNG-0068:taxonomy.genus:37,M4-FUNG-0068,taxonomy.genus,Penicillium,PRESENT,Penicillium,exact_taxonomic_string,S002,37
M4-FUNG-0068:organism.pathotype_or_ecotype:38,M4-FUNG-0068,organism.pathotype_or_ecotype,industrial penicillin strain lineage,PRESENT,,unreviewed,S003,38
M4-FUNG-0068:ecology.lifestyle:39,M4-FUNG-0068,ecology.lifestyle,saprotrophic filamentous fungus,PRESENT,,unreviewed,S003,39
M4-FUNG-0068:ecology.host_or_environment:40,M4-FUNG-0068,ecology.host_or_environment,laboratory/industrial culture; native ecological role of roquefortine/meleagrine unresolved,PRESENT,,unreviewed,S003,40
M4-FUNG-0068:biosynthesis.database_class:49,M4-FUNG-0068,biosynthesis.database_class,NRPS (Type I),PRESENT,,unreviewed,S001,49
M4-FUNG-0068:biosynthesis.refined_class:50,M4-FUNG-0068,biosynthesis.refined_class,"seven-gene branched diketopiperazine alkaloid pathway with NRPS, prenyltransferase, two P450/oxidative enzymes, monooxygenase, methyltransferase and transporter",PRESENT,,unreviewed,S001; S003,50
M4-FUNG-0068:genome.chromosome_context:53,M4-FUNG-0068,genome.chromosome_context,P. rubens genomic scaffold AM920436.1,PRESENT,,unreviewed,S001,53
M4-FUNG-0068:genome.accessory_chromosome_status:54,M4-FUNG-0068,genome.accessory_chromosome_status,NA,NA,,missingness_only,,54
M4-FUNG-0068:genome.copy_number_context:55,M4-FUNG-0068,genome.copy_number_context,NR,NR,,missingness_only,S003,55
M4-FUNG-0068:genome.repeat_context:56,M4-FUNG-0068,genome.repeat_context,NR,NR,,missingness_only,S003,56
M4-FUNG-0068:chemistry.product_family:62,M4-FUNG-0068,chemistry.product_family,roquefortine/meleagrine diketopiperazine alkaloids,PRESENT,,unreviewed,S001; S003,62
M4-FUNG-0068:chemistry.primary_product:63,M4-FUNG-0068,chemistry.primary_product,meleagrine,PRESENT,,unreviewed,S003,63
M4-FUNG-0068:chemistry.chemical_class:65,M4-FUNG-0068,chemistry.chemical_class,prenylated histidyl-tryptophanyl diketopiperazine alkaloids,PRESENT,,unreviewed,S003,65
M4-FUNG-0068:biology.biological_role:66,M4-FUNG-0068,biology.biological_role,native ecological function unresolved,PRESENT,,unreviewed,S003,66
M4-FUNG-0068:activation.native_pathway_state:68,M4-FUNG-0068,activation.native_pathway_state,active in standard culture without phenylacetic acid,PRESENT,,unreviewed,S003,68
M4-FUNG-0068:activation.extracellular_recovery:70,M4-FUNG-0068,activation.extracellular_recovery,culture broth/extract,PRESENT,,unreviewed,S003,70
M4-FUNG-0068:activation.productive_developmental_state:77,M4-FUNG-0068,activation.productive_developmental_state,vegetative culture,PRESENT,,unreviewed,S003,77
M4-FUNG-0068:activation.physiological_state:78,M4-FUNG-0068,activation.physiological_state,secondary-metabolic state antagonized by penicillin side-chain precursor conditions,PRESENT,,unreviewed,S003,78
M4-FUNG-0068:activation.environmental_trigger:79,M4-FUNG-0068,activation.environmental_trigger,phenylacetic acid is a negative context modifier,PRESENT,,unreviewed,S003,79
M4-FUNG-0068:activation.ecological_trigger:80,M4-FUNG-0068,activation.ecological_trigger,NF,NF,,missingness_only,S003,80
M4-FUNG-0068:activation.temporal_window:81,M4-FUNG-0068,activation.temporal_window,NR,NR,,missingness_only,S003,81
M4-FUNG-0068:activation.spatial_context:83,M4-FUNG-0068,activation.spatial_context,NR,NR,,missingness_only,S003,83
M4-FUNG-0068:activation.culture_architecture:84,M4-FUNG-0068,activation.culture_architecture,"fungal liquid culture, targeted deletion metabolomics, precursor/medium perturbation",PRESENT,,unreviewed,S003; S004,84
M4-FUNG-0069:taxonomy.phylum:33,M4-FUNG-0069,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S002,33
M4-FUNG-0069:taxonomy.class:34,M4-FUNG-0069,taxonomy.class,Eurotiomycetes,PRESENT,Eurotiomycetes,exact_taxonomic_string,S002,34
M4-FUNG-0069:taxonomy.order:35,M4-FUNG-0069,taxonomy.order,Eurotiales,PRESENT,Eurotiales,exact_taxonomic_string,S002,35
M4-FUNG-0069:taxonomy.family:36,M4-FUNG-0069,taxonomy.family,Aspergillaceae,PRESENT,Aspergillaceae,exact_taxonomic_string,S002,36
M4-FUNG-0069:taxonomy.genus:37,M4-FUNG-0069,taxonomy.genus,Aspergillus,PRESENT,Aspergillus,exact_taxonomic_string,S002,37
M4-FUNG-0069:organism.pathotype_or_ecotype:38,M4-FUNG-0069,organism.pathotype_or_ecotype,model filamentous fungus,PRESENT,,unreviewed,S003,38
M4-FUNG-0069:ecology.lifestyle:39,M4-FUNG-0069,ecology.lifestyle,saprotrophic filamentous fungus,PRESENT,,unreviewed,S003,39
M4-FUNG-0069:ecology.host_or_environment:40,M4-FUNG-0069,ecology.host_or_environment,laboratory culture; native ecological role unresolved,PRESENT,,unreviewed,S003,40
M4-FUNG-0069:biosynthesis.database_class:49,M4-FUNG-0069,biosynthesis.database_class,NRPS (Type I),PRESENT,,unreviewed,S001,49
M4-FUNG-0069:biosynthesis.refined_class:50,M4-FUNG-0069,biosynthesis.refined_class,"five-gene bis-indole quinone pathway: aminotransferase, unusual NRPS-like dimerization enzyme, quinone reductase, prenyltransferase and essential accessory protein",PRESENT,,unreviewed,S003,50
M4-FUNG-0069:genome.chromosome_context:53,M4-FUNG-0069,genome.chromosome_context,A. nidulans genomic sequence BN001305.1,PRESENT,,unreviewed,S001,53
M4-FUNG-0069:genome.accessory_chromosome_status:54,M4-FUNG-0069,genome.accessory_chromosome_status,NA,NA,,missingness_only,,54
M4-FUNG-0069:genome.copy_number_context:55,M4-FUNG-0069,genome.copy_number_context,NR,NR,,missingness_only,S003,55
M4-FUNG-0069:genome.repeat_context:56,M4-FUNG-0069,genome.repeat_context,NR,NR,,missingness_only,S003,56
M4-FUNG-0069:chemistry.product_family:62,M4-FUNG-0069,chemistry.product_family,asterriquinone/terrequinone bis-indole quinones,PRESENT,,unreviewed,S001; S003,62
M4-FUNG-0069:chemistry.primary_product:63,M4-FUNG-0069,chemistry.primary_product,terrequinone A,PRESENT,,unreviewed,S001; S003,63
M4-FUNG-0069:chemistry.chemical_class:65,M4-FUNG-0069,chemistry.chemical_class,prenylated bis-indolyl quinone,PRESENT,,unreviewed,S003,65
M4-FUNG-0069:biology.biological_role:66,M4-FUNG-0069,biology.biological_role,native ecological role unresolved,PRESENT,,unreviewed,S003,66
M4-FUNG-0069:activation.native_pathway_state:68,M4-FUNG-0069,activation.native_pathway_state,detectable under laboratory conditions used for cluster discovery/activation,PRESENT,,unreviewed,S004,68
M4-FUNG-0069:activation.extracellular_recovery:70,M4-FUNG-0069,activation.extracellular_recovery,fungal and heterologous extracts,PRESENT,,unreviewed,S003,70
M4-FUNG-0069:activation.productive_developmental_state:77,M4-FUNG-0069,activation.productive_developmental_state,NR,NR,,missingness_only,S004,77
M4-FUNG-0069:activation.physiological_state:78,M4-FUNG-0069,activation.physiological_state,secondary-metabolic state,PRESENT,,unreviewed,S004,78
M4-FUNG-0069:activation.environmental_trigger:79,M4-FUNG-0069,activation.environmental_trigger,NF,NF,,missingness_only,S004,79
M4-FUNG-0069:activation.ecological_trigger:80,M4-FUNG-0069,activation.ecological_trigger,NF,NF,,missingness_only,S004,80
M4-FUNG-0069:activation.temporal_window:81,M4-FUNG-0069,activation.temporal_window,NR,NR,,missingness_only,S004,81
M4-FUNG-0069:activation.spatial_context:83,M4-FUNG-0069,activation.spatial_context,heterologous reconstruction bypasses native compartment/regulation constraints,PRESENT,,unreviewed,S003,83
M4-FUNG-0069:activation.culture_architecture:84,M4-FUNG-0069,activation.culture_architecture,native fungal genetics plus E. coli full-pathway reconstruction,PRESENT,,unreviewed,S003; S004,84
M4-FUNG-0070:taxonomy.phylum:33,M4-FUNG-0070,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S002,33
